+-------+--------+--------------------------------------+-----+-----+-----+-----+--------+--------+---------+--------+--------+------------+------------+
| COUNT | METHOD |                 URI                  | 2XX | 3XX | 4XX | 5XX |  MAX   |  AVG   |   SUM   |  P90   |  P99   | SUM(BODY)  | AVG(BODY)  |
+-------+--------+--------------------------------------+-----+-----+-----+-----+--------+--------+---------+--------+--------+------------+------------+
| 152   | POST   | /login                               | 9   | 0   | 139 | 4   | 10.001 | 1.349  | 204.988 | 6.533  | 10.001 | 20498.000  | 134.855    |
| 12    | POST   | /user                                | 6   | 0   | 6   | 0   | 10.000 | 7.603  | 91.238  | 10.000 | 10.000 | 38854.000  | 3237.833   |
| 1     | POST   | /initialize                          | 1   | 0   | 0   | 0   | 48.690 | 48.690 | 48.690  | 48.690 | 48.690 | 18.000     | 18.000     |
| 13    | POST   | ^/user/[^/]+/present/receive$        | 13  | 0   | 0   | 0   | 0.121  | 0.057  | 0.742   | 0.073  | 0.121  | 67755.000  | 5211.923   |
| 10    | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 9   | 0   | 1   | 0   | 0.092  | 0.072  | 0.725   | 0.088  | 0.092  | 17673.000  | 1767.300   |
| 4     | POST   | /admin/login                         | 2   | 0   | 2   | 0   | 0.121  | 0.065  | 0.261   | 0.121  | 0.121  | 415.000    | 103.750    |
| 9     | GET    | ^/user/[^/]+/gacha/index$            | 9   | 0   | 0   | 0   | 0.021  | 0.015  | 0.134   | 0.021  | 0.021  | 77981.000  | 8664.556   |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1   | 0   | 0   | 0   | 0.083  | 0.083  | 0.083   | 0.083  | 0.083  | 39068.000  | 39068.000  |
| 6     | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 5   | 0   | 1   | 0   | 0.017  | 0.014  | 0.082   | 0.017  | 0.017  | 1565.000   | 260.833    |
| 6     | GET    | ^/user/[^/]+/item$                   | 6   | 0   | 0   | 0   | 0.016  | 0.014  | 0.082   | 0.016  | 0.016  | 16421.000  | 2736.833   |
| 14    | GET    | ^/user/[^/]+/present/index/[^/]+$    | 14  | 0   | 0   | 0   | 0.016  | 0.006  | 0.080   | 0.015  | 0.016  | 60209.000  | 4300.643   |
| 5     | POST   | ^/user/[^/]+/card$                   | 5   | 0   | 0   | 0   | 0.015  | 0.014  | 0.069   | 0.015  | 0.015  | 861.000    | 172.200    |
| 5     | POST   | ^/user/[^/]+/reward$                 | 5   | 0   | 0   | 0   | 0.008  | 0.008  | 0.038   | 0.008  | 0.008  | 1076.000   | 215.200    |
| 15    | GET    | ^/user/[^/]+/home$                   | 10  | 0   | 5   | 0   | 0.003  | 0.002  | 0.025   | 0.003  | 0.003  | 3925.000   | 261.667    |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1   | 0   | 0   | 0   | 0.013  | 0.013  | 0.013   | 0.013  | 0.013  | 178.000    | 178.000    |
| 1     | PUT    | /admin/master                        | 1   | 0   | 0   | 0   | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 58.000     | 58.000     |
| 1     | DELETE | /admin/logout                        | 1   | 0   | 0   | 0   | 0.006  | 0.006  | 0.006   | 0.006  | 0.006  | 0.000      | 0.000      |
| 1     | GET    | /admin/master                        | 1   | 0   | 0   | 0   | 0.005  | 0.005  | 0.005   | 0.005  | 0.005  | 118556.000 | 118556.000 |
| 1     | GET    | /index.html                          | 1   | 0   | 0   | 0   | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 396.000    | 396.000    |
+-------+--------+--------------------------------------+-----+-----+-----+-----+--------+--------+---------+--------+--------+------------+------------+
