sample	timestamp	elapsed_ms	status_rows	max_connections	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec	max_used_connections	connection_errors_max_connections_total	connection_errors_max_connections_per_sec
0	2026-09-23T15:15:43.808890448Z	0	26	151	3	2	1	4	0.000	67	0.000	12020	0.000	10517	0.000	568	0.000	0	0.000	1	0.000	575042602	0.000	15587463	0.000	8192	1024	0	36475008	0.000	4360	0.000	0.000	0	0	0.000	0	0.000	0	0.000	554	0.000	0	0.000	0.000	1	0.000	4	0	0.000
1	2026-09-23T15:15:44.809902238Z	1001	26	151	3	2	1	4	0.000	67	0.000	12042	21.978	10538	20.979	568	0.000	0	0.000	1	0.000	575067470	24842.864	15618715	31220.411	8192	1024	0	36475008	0.000	4360	0.000	0.000	0	0	0.000	0	0.000	0	0.000	555	0.999	0	0.000	0.000	1	0.000	4	0	0.000
2	2026-09-23T15:15:45.810045458Z	2001	26	151	3	2	1	4	0.000	67	0.000	12064	21.997	10559	20.997	568	0.000	0	0.000	1	0.000	575092338	24864.439	15649967	31247.525	8192	1024	0	36475008	0.000	4360	0.000	0.000	0	0	0.000	0	0.000	0	0.000	556	1.000	0	0.000	0.000	1	0.000	4	0	0.000
3	2026-09-23T15:15:46.809960435Z	3001	26	151	3	2	1	4	0.000	67	0.000	12086	22.002	10580	21.002	568	0.000	0	0.000	1	0.000	575117206	24870.115	15681219	31254.657	8192	1024	0	36475008	0.000	4360	0.000	0.000	0	0	0.000	0	0.000	0	0.000	557	1.000	0	0.000	0.000	1	0.000	4	0	0.000
4	2026-09-23T15:15:47.810179932Z	4001	26	151	3	2	1	4	0.000	67	0.000	12108	21.995	10601	20.995	568	0.000	0	0.000	1	0.000	575142074	24862.543	15712471	31245.142	8192	1024	0	36475008	0.000	4360	0.000	0.000	0	0	0.000	0	0.000	0	0.000	558	1.000	0	0.000	0.000	1	0.000	4	0	0.000
5	2026-09-23T15:15:48.810340002Z	5001	26	151	3	2	1	4	0.000	67	0.000	12130	21.996	10622	20.997	568	0.000	0	0.000	1	0.000	575166942	24864.020	15743723	31246.998	8192	805	28	36475623	614.902	4579	218.965	64.390	0	0	0.000	0	0.000	0	0.000	559	1.000	0	0.000	0.000	1	0.000	4	0	0.000
6	2026-09-23T15:15:49.810524455Z	6001	26	151	3	2	1	4	0.000	67	0.000	12152	21.996	10643	20.996	568	0.000	0	0.000	1	0.000	575191810	24863.414	15774975	31246.237	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	560	1.000	0	0.000	0.000	1	0.000	4	0	0.000
7	2026-09-23T15:15:50.810562818Z	7001	26	151	3	2	1	4	0.000	67	0.000	12174	21.999	10664	20.999	568	0.000	0	0.000	1	0.000	575216678	24867.046	15806226	31249.801	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	561	1.000	0	0.000	0.000	1	0.000	4	0	0.000
8	2026-09-23T15:15:51.810375488Z	8001	26	151	3	2	1	4	0.000	67	0.000	12196	22.004	10685	21.004	568	0.000	0	0.000	1	0.000	575241546	24872.659	15837477	31256.855	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	562	1.000	0	0.000	0.000	1	0.000	4	0	0.000
9	2026-09-23T15:15:52.810623263Z	9001	26	151	3	2	1	4	0.000	67	0.000	12218	21.995	10706	20.995	568	0.000	0	0.000	1	0.000	575266414	24861.840	15868728	31243.259	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	563	1.000	0	0.000	0.000	1	0.000	4	0	0.000
10	2026-09-23T15:15:53.810515891Z	10001	26	151	3	2	1	4	0.000	67	0.000	12242	24.003	10728	22.002	568	0.000	0	0.000	1	0.000	575291930	25518.740	15900970	32245.462	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	565	2.000	0	0.000	0.000	1	0.000	4	0	0.000
11	2026-09-23T15:15:54.810595601Z	11001	26	151	3	2	1	4	0.000	67	0.000	12264	21.998	10749	20.998	568	0.000	0	0.000	1	0.000	575316798	24866.018	15932221	31248.509	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	566	1.000	0	0.000	0.000	1	0.000	4	0	0.000
12	2026-09-23T15:15:55.810484663Z	12001	26	151	3	2	1	4	0.000	67	0.000	12286	22.002	10770	21.002	568	0.000	0	0.000	1	0.000	575341666	24870.759	15963472	31254.467	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	567	1.000	0	0.000	0.000	1	0.000	4	0	0.000
13	2026-09-23T15:15:56.810408639Z	13001	26	151	3	2	1	4	0.000	67	0.000	12308	22.002	10791	21.002	568	0.000	0	0.000	1	0.000	575366534	24869.891	15994723	31253.376	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	568	1.000	0	0.000	0.000	1	0.000	4	0	0.000
14	2026-09-23T15:15:57.810565327Z	14001	26	151	3	2	1	4	0.000	67	0.000	12330	21.997	10812	20.997	568	0.000	0	0.000	1	0.000	575391402	24864.104	16025974	31246.104	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	569	1.000	0	0.000	0.000	1	0.000	4	0	0.000
15	2026-09-23T15:15:58.810846492Z	15001	26	151	3	2	1	4	0.000	67	0.000	12352	21.994	10833	20.994	568	0.000	0	0.000	1	0.000	575416270	24861.010	16057225	31242.216	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	570	1.000	0	0.000	0.000	1	0.000	4	0	0.000
16	2026-09-23T15:15:59.810507419Z	16001	26	151	3	2	1	4	0.000	67	0.000	12374	22.007	10854	21.007	568	0.000	0	0.000	1	0.000	575441138	24876.435	16088476	31261.600	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	571	1.000	0	0.000	0.000	1	0.000	4	0	0.000
17	2026-09-23T15:16:00.810580683Z	17001	26	151	3	2	1	4	0.000	67	0.000	12396	21.998	10875	20.998	568	0.000	0	0.000	1	0.000	575466006	24866.166	16119727	31248.695	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	572	1.000	0	0.000	0.000	1	0.000	4	0	0.000
18	2026-09-23T15:16:01.810424024Z	18001	26	151	3	2	1	4	0.000	67	0.000	12418	22.003	10896	21.003	568	0.000	0	0.000	1	0.000	575490874	24871.909	16150978	31255.912	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	573	1.000	0	0.000	0.000	1	0.000	4	0	0.000
19	2026-09-23T15:16:02.810452309Z	19001	26	151	3	2	1	4	0.000	67	0.000	12440	21.999	10917	20.999	568	0.000	0	0.000	1	0.000	575515742	24867.296	16182229	31250.116	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	574	1.000	0	0.000	0.000	1	0.000	4	0	0.000
20	2026-09-23T15:16:03.810373952Z	20001	26	151	3	2	1	4	0.000	67	0.000	12464	24.002	10939	22.002	568	0.000	0	0.000	1	0.000	575541258	25518.000	16214471	32244.527	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	576	2.000	0	0.000	0.000	1	0.000	4	0	0.000
21	2026-09-23T15:16:04.810580014Z	21001	26	151	3	2	1	4	0.000	67	0.000	12486	21.995	10960	20.996	568	0.000	0	0.000	1	0.000	575566126	24862.877	16245722	31244.562	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	577	1.000	0	0.000	0.000	1	0.000	4	0	0.000
22	2026-09-23T15:16:05.810563616Z	22001	26	151	3	2	1	4	0.000	67	0.000	12508	22.000	10981	21.000	568	0.000	0	0.000	1	0.000	575590994	24868.408	16276973	31251.513	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	578	1.000	0	0.000	0.000	1	0.000	4	0	0.000
23	2026-09-23T15:16:06.810410455Z	23001	26	151	3	2	1	4	0.000	67	0.000	12530	22.003	11002	21.003	568	0.000	0	0.000	1	0.000	575615862	24871.809	16308224	31255.787	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	579	1.000	0	0.000	0.000	1	0.000	4	0	0.000
24	2026-09-23T15:16:07.810565747Z	24001	26	151	3	2	1	4	0.000	67	0.000	12552	21.997	11023	20.997	568	0.000	0	0.000	1	0.000	575640730	24864.139	16339475	31246.148	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	580	1.000	0	0.000	0.000	1	0.000	4	0	0.000
25	2026-09-23T15:16:08.810399914Z	25001	26	151	3	2	1	4	0.000	67	0.000	12574	22.004	11044	21.003	568	0.000	0	0.000	1	0.000	575665598	24872.125	16370726	31256.183	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	581	1.000	0	0.000	0.000	1	0.000	4	0	0.000
26	2026-09-23T15:16:09.8105751Z	26001	26	151	3	2	1	4	0.000	67	0.000	12596	21.996	11065	20.996	568	0.000	0	0.000	1	0.000	575690466	24863.644	16401977	31245.526	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	582	1.000	0	0.000	0.000	1	0.000	4	0	0.000
27	2026-09-23T15:16:10.810606941Z	27001	26	151	3	2	1	4	0.000	67	0.000	12618	21.999	11086	20.999	568	0.000	0	0.000	1	0.000	575715334	24867.208	16433228	31250.005	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	583	1.000	0	0.000	0.000	1	0.000	4	0	0.000
28	2026-09-23T15:16:11.810384086Z	28001	26	151	3	2	1	4	0.000	67	0.000	12640	22.005	11107	21.005	568	0.000	0	0.000	1	0.000	575740202	24873.543	16464479	31257.966	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	584	1.000	0	0.000	0.000	1	0.000	4	0	0.000
29	2026-09-23T15:16:12.810249101Z	29001	26	151	3	2	1	4	0.000	67	0.000	12662	22.003	11128	21.003	568	0.000	0	0.000	1	0.000	575765070	24871.357	16495730	31255.219	8192	805	0	36475623	0.000	4579	0.000	0.000	0	0	0.000	0	0.000	0	0.000	585	1.000	0	0.000	0.000	1	0.000	4	0	0.000
