+-------+--------+--------------------------------------+-----+-----+-----+------+--------+--------+---------+--------+--------+-------------+------------+
| COUNT | METHOD |                 URI                  | 2XX | 3XX | 4XX | 5XX  |  MAX   |  AVG   |   SUM   |  P90   |  P99   |  SUM(BODY)  | AVG(BODY)  |
+-------+--------+--------------------------------------+-----+-----+-----+------+--------+--------+---------+--------+--------+-------------+------------+
| 456   | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 424 | 0   | 31  | 1    | 10.001 | 0.771  | 351.667 | 1.916  | 10.000 | 882005.000  | 1934.221   |
| 583   | POST   | ^/user/[^/]+/present/receive$        | 577 | 0   | 6   | 0    | 2.528  | 0.218  | 126.922 | 0.548  | 1.859  | 2747859.000 | 4713.309   |
| 469   | POST   | /login                               | 349 | 0   | 95  | 25   | 1.676  | 0.134  | 62.993  | 0.324  | 1.004  | 493256.000  | 1051.719   |
| 1     | POST   | /initialize                          | 1   | 0   | 0   | 0    | 48.936 | 48.936 | 48.936  | 48.936 | 48.936 | 18.000      | 18.000     |
| 588   | GET    | ^/user/[^/]+/present/index/[^/]+$    | 584 | 0   | 0   | 4    | 0.663  | 0.071  | 41.934  | 0.212  | 0.523  | 2481371.000 | 4220.019   |
| 123   | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 121 | 0   | 2   | 0    | 10.000 | 0.335  | 41.167  | 0.110  | 9.776  | 40404.000   | 328.488    |
| 1433  | POST   | /user                                | 131 | 0   | 8   | 1294 | 2.645  | 0.026  | 37.631  | 0.016  | 0.542  | 1023596.000 | 714.303    |
| 456   | GET    | ^/user/[^/]+/gacha/index$            | 455 | 0   | 1   | 0    | 0.335  | 0.035  | 15.848  | 0.077  | 0.193  | 3944016.000 | 8649.158   |
| 333   | POST   | ^/user/[^/]+/reward$                 | 333 | 0   | 0   | 0    | 0.248  | 0.031  | 10.187  | 0.061  | 0.173  | 71677.000   | 215.246    |
| 480   | GET    | ^/user/[^/]+/home$                   | 463 | 0   | 17  | 0    | 0.195  | 0.011  | 5.366   | 0.027  | 0.076  | 180843.000  | 376.756    |
| 127   | GET    | ^/user/[^/]+/item$                   | 123 | 0   | 0   | 4    | 0.138  | 0.025  | 3.197   | 0.061  | 0.128  | 199482.000  | 1570.724   |
| 121   | POST   | ^/user/[^/]+/card$                   | 120 | 0   | 1   | 0    | 0.145  | 0.022  | 2.667   | 0.045  | 0.136  | 25370.000   | 209.669    |
| 4     | POST   | /admin/login                         | 2   | 0   | 2   | 0    | 0.130  | 0.065  | 0.259   | 0.130  | 0.130  | 433.000     | 108.250    |
| 1     | PUT    | /admin/master                        | 1   | 0   | 0   | 0    | 0.021  | 0.021  | 0.021   | 0.021  | 0.021  | 58.000      | 58.000     |
| 1     | GET    | /admin/master                        | 1   | 0   | 0   | 0    | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  | 118556.000  | 118556.000 |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1   | 0   | 0   | 0    | 0.010  | 0.010  | 0.010   | 0.010  | 0.010  | 178.000     | 178.000    |
| 1     | DELETE | /admin/logout                        | 1   | 0   | 0   | 0    | 0.009  | 0.009  | 0.009   | 0.009  | 0.009  | 0.000       | 0.000      |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1   | 0   | 0   | 0    | 0.007  | 0.007  | 0.007   | 0.007  | 0.007  | 41229.000   | 41229.000  |
+-------+--------+--------------------------------------+-----+-----+-----+------+--------+--------+---------+--------+--------+-------------+------------+
