ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	767	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	722	0	45	0	10.002	0.636	488.168	0.351	10.001	1502619	1959.086
isucon-1	753	POST	/login	554	0	199	0	10.001	0.471	354.843	0.329	10	799826	1062.186
isucon-1	801	GET	^/user/[^/]+/home$	777	0	24	0	10.003	0.244	195.597	0.028	10	302373	377.494
isucon-1	260	POST	/user	247	0	13	0	10.001	0.66	171.569	0.973	10.001	1766796	6795.369
isucon-1	1003	POST	^/user/[^/]+/present/receive$	1001	0	2	0	3.252	0.161	161.415	0.39	1.249	4750651	4736.442
isucon-1	1018	GET	^/user/[^/]+/present/index/[^/]+$	1008	0	10	0	10	0.14	142.853	0.118	5.225	4252314	4177.126
isucon-1	229	POST	^/user/[^/]+/card/addexp/[^/]+$	221	0	8	0	10.001	0.352	80.653	0.074	10	73691	321.795
isucon-1	236	GET	^/user/[^/]+/item$	229	0	7	0	10	0.258	60.868	0.033	10	353399	1497.453
isucon-1	1	POST	/initialize	1	0	0	0	29.902	29.902	29.902	29.902	29.902	18	18
isucon-1	773	GET	^/user/[^/]+/gacha/index$	766	0	7	0	10.001	0.037	28.731	0.051	0.225	6638022	8587.351
isucon-1	546	POST	^/user/[^/]+/reward$	540	0	6	0	2.017	0.029	16.104	0.04	0.208	116251	212.914
isucon-1	221	POST	^/user/[^/]+/card$	221	0	0	0	0.104	0.01	2.2	0.023	0.086	46625	210.973
isucon-1	4	POST	/admin/login	2	0	2	0	0.098	0.056	0.223	0.098	0.098	433	108.25
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.005	0.005	0.005	0.005	0.005	40769	40769
isucon-1	1	GET	/admin/master	1	0	0	0	0.005	0.005	0.005	0.005	0.005	118563	118563
isucon-1	1	PUT	/admin/master	1	0	0	0	0.001	0.001	0.001	0.001	0.001	58	58
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0	0	0	0	0	179	179
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0	0	0	0	0	0	0
isucon-5	1	GET	/assets/index.9b1350c3.js	1	0	0	0	0.105	0.105	0.105	0.105	0.105	168770	168770
isucon-5	5	GET	/index.html	5	0	0	0	0	0	0	0	0	1980	396
