+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+---------+--------+--------+-------------+------------+
| COUNT | METHOD |                 URI                  | 2XX  | 3XX | 4XX | 5XX |  MAX   |  AVG   |   SUM   |  P90   |  P99   |  SUM(BODY)  | AVG(BODY)  |
+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+---------+--------+--------+-------------+------------+
| 767   | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 722  | 0   | 45  | 0   | 10.002 | 0.636  | 488.168 | 0.351  | 10.001 | 1502619.000 | 1959.086   |
| 753   | POST   | /login                               | 554  | 0   | 199 | 0   | 10.001 | 0.471  | 354.843 | 0.329  | 10.000 | 799826.000  | 1062.186   |
| 801   | GET    | ^/user/[^/]+/home$                   | 777  | 0   | 24  | 0   | 10.003 | 0.244  | 195.597 | 0.028  | 10.000 | 302373.000  | 377.494    |
| 260   | POST   | /user                                | 247  | 0   | 13  | 0   | 10.001 | 0.660  | 171.569 | 0.973  | 10.001 | 1766796.000 | 6795.369   |
| 1003  | POST   | ^/user/[^/]+/present/receive$        | 1001 | 0   | 2   | 0   | 3.252  | 0.161  | 161.415 | 0.390  | 1.249  | 4750651.000 | 4736.442   |
| 1018  | GET    | ^/user/[^/]+/present/index/[^/]+$    | 1008 | 0   | 10  | 0   | 10.000 | 0.140  | 142.853 | 0.118  | 5.225  | 4252314.000 | 4177.126   |
| 229   | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 221  | 0   | 8   | 0   | 10.001 | 0.352  | 80.653  | 0.074  | 10.000 | 73691.000   | 321.795    |
| 236   | GET    | ^/user/[^/]+/item$                   | 229  | 0   | 7   | 0   | 10.000 | 0.258  | 60.868  | 0.033  | 10.000 | 353399.000  | 1497.453   |
| 1     | POST   | /initialize                          | 1    | 0   | 0   | 0   | 29.902 | 29.902 | 29.902  | 29.902 | 29.902 | 18.000      | 18.000     |
| 773   | GET    | ^/user/[^/]+/gacha/index$            | 766  | 0   | 7   | 0   | 10.001 | 0.037  | 28.731  | 0.051  | 0.225  | 6638022.000 | 8587.351   |
| 546   | POST   | ^/user/[^/]+/reward$                 | 540  | 0   | 6   | 0   | 2.017  | 0.029  | 16.104  | 0.040  | 0.208  | 116251.000  | 212.914    |
| 221   | POST   | ^/user/[^/]+/card$                   | 221  | 0   | 0   | 0   | 0.104  | 0.010  | 2.200   | 0.023  | 0.086  | 46625.000   | 210.973    |
| 4     | POST   | /admin/login                         | 2    | 0   | 2   | 0   | 0.098  | 0.056  | 0.223   | 0.098  | 0.098  | 433.000     | 108.250    |
| 1     | GET    | /assets/index.9b1350c3.js            | 1    | 0   | 0   | 0   | 0.105  | 0.105  | 0.105   | 0.105  | 0.105  | 168770.000  | 168770.000 |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1    | 0   | 0   | 0   | 0.005  | 0.005  | 0.005   | 0.005  | 0.005  | 40769.000   | 40769.000  |
| 1     | GET    | /admin/master                        | 1    | 0   | 0   | 0   | 0.005  | 0.005  | 0.005   | 0.005  | 0.005  | 118563.000  | 118563.000 |
| 1     | PUT    | /admin/master                        | 1    | 0   | 0   | 0   | 0.001  | 0.001  | 0.001   | 0.001  | 0.001  | 58.000      | 58.000     |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1    | 0   | 0   | 0   | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 179.000     | 179.000    |
| 1     | DELETE | /admin/logout                        | 1    | 0   | 0   | 0   | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 0.000       | 0.000      |
| 5     | GET    | /index.html                          | 5    | 0   | 0   | 0   | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 1980.000    | 396.000    |
+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+---------+--------+--------+-------------+------------+
