sample	timestamp	elapsed_ms	cpu_count	cpu_busy_pct	cpu_nonidle_pct	cpu_user_pct	cpu_system_pct	cpu_iowait_pct	cpu_steal_pct	cpu_idle_pct	load1	load5	load15	procs_running	procs_blocked	context_switches_per_sec	interrupts_per_sec	mem_total_bytes	mem_used_bytes	mem_available_bytes	mem_free_bytes	buffers_bytes	cached_bytes	swap_total_bytes	swap_used_bytes	swap_in_bytes_per_sec	swap_out_bytes_per_sec	disk_read_bytes_per_sec	disk_write_bytes_per_sec	disk_io_in_progress	disk_io_time_millis_per_sec	net_rx_bytes_per_sec	net_tx_bytes_per_sec	net_rx_packets_per_sec	net_tx_packets_per_sec	net_rx_errors_per_sec	net_tx_errors_per_sec	net_rx_drops_per_sec	net_tx_drops_per_sec	cpu_pressure_some_avg10	memory_pressure_some_avg10	memory_pressure_full_avg10	io_pressure_some_avg10	io_pressure_full_avg10
0	2026-09-23T19:24:54.794512232Z	0	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.400000	0.310000	0.120000	3	0	0.000000	0.000000	3879243776	1953845248	1925398528	499228672	84295680	1521205248	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.180000	0.000000	0.000000	6.300000	5.870000
1	2026-09-23T19:24:55.807104029Z	1012	2	13.197970	18.781726	6.091371	7.106599	5.583756	0.000000	81.218274	0.400000	0.310000	0.120000	1	0	5323.961754	4467.743086	3879243776	1952583680	1926660096	488706048	84295680	1532846080	0	0	0.000000	0.000000	36405.588223	6205130.259415	0	126.408292	4705274.143160	110699.099412	3593.748252	1026.079811	0.000000	0.000000	0.000000	0.000000	0.180000	0.000000	0.000000	6.300000	5.870000
2	2026-09-23T19:24:56.807722052Z	2013	2	2.512563	8.542714	1.507538	1.005025	6.030151	0.000000	91.457286	0.400000	0.310000	0.120000	1	0	4303.340428	2335.556568	3879243776	1954127872	1925115904	487157760	84295680	1532850176	0	0	0.000000	0.000000	0.000000	6230261.542610	0	127.920942	61307.110673	60669.504729	90.943794	87.945647	0.000000	0.000000	0.000000	0.000000	0.880000	0.000000	0.000000	6.060000	5.710000
3	2026-09-23T19:24:57.807147673Z	3012	2	1.500000	7.500000	1.000000	0.500000	6.000000	0.000000	92.500000	0.370000	0.300000	0.120000	1	0	3913.247687	2164.243096	3879243776	1954127872	1925115904	487157760	84295680	1532850176	0	0	0.000000	0.000000	0.000000	6221301.384868	0	124.071264	58338.508414	58338.508414	63.036207	63.036207	0.000000	0.000000	0.000000	0.000000	0.880000	0.000000	0.000000	6.060000	5.710000
4	2026-09-23T19:24:58.807320861Z	4012	2	1.515152	7.070707	1.010101	0.505051	5.555556	0.000000	92.929293	0.370000	0.300000	0.120000	1	0	3976.311347	2234.612990	3879243776	1954115584	1925128192	487157760	84295680	1532862464	0	0	0.000000	0.000000	0.000000	6224841.925852	0	127.977836	58346.894960	58346.894960	63.988918	63.988918	0.000000	0.000000	0.000000	0.000000	0.720000	0.000000	0.000000	6.050000	5.760000
5	2026-09-23T19:24:59.807757111Z	5013	2	1.005025	8.542714	0.502513	0.502513	7.537688	0.000000	91.457286	0.370000	0.300000	0.120000	1	0	3917.291097	2204.038497	3879243776	1954115584	1925128192	487157760	84295680	1532862464	0	0	0.000000	0.000000	0.000000	25707569.175777	0	159.930231	58279.575768	58279.575768	62.972528	62.972528	0.000000	0.000000	0.000000	0.000000	0.720000	0.000000	0.000000	6.050000	5.760000
6	2026-09-23T19:25:00.807456482Z	6012	2	2.000000	7.000000	1.500000	0.500000	5.000000	0.000000	93.000000	0.370000	0.300000	0.120000	1	0	3679.106086	2015.605972	3879243776	1954115584	1925128192	487157760	84295680	1532862464	0	0	0.000000	0.000000	0.000000	5355081.951838	0	112.033682	58322.534087	58322.534087	63.018946	63.018946	0.000000	0.000000	0.000000	0.000000	0.580000	0.000000	0.000000	6.040000	5.800000
7	2026-09-23T19:25:01.807204804Z	7012	2	2.000000	7.000000	1.500000	0.500000	5.000000	0.000000	93.000000	0.370000	0.300000	0.120000	1	0	3816.960580	2135.537431	3879243776	1954111488	1925132288	487157760	84295680	1532870656	0	0	0.000000	0.000000	0.000000	5338431.475003	0	108.027186	58319.676788	58319.676788	63.015859	63.015859	0.000000	0.000000	0.000000	0.000000	0.580000	0.000000	0.000000	6.040000	5.800000
8	2026-09-23T19:25:02.807751502Z	8013	2	1.010101	6.060606	1.010101	0.000000	5.050505	0.000000	93.939394	0.340000	0.300000	0.120000	2	0	4177.716051	2308.737818	3879243776	1954361344	1924882432	486899712	84295680	1532874752	0	0	0.000000	0.000000	0.000000	5350546.866729	0	103.943174	58273.142190	58273.142190	62.965577	62.965577	0.000000	0.000000	0.000000	0.000000	0.480000	0.000000	0.000000	5.850000	5.660000
9	2026-09-23T19:25:03.807484999Z	9012	2	1.005025	6.030151	0.502513	0.502513	5.025126	0.000000	93.969849	0.340000	0.300000	0.120000	5	0	3836.022334	2142.571014	3879243776	1954611200	1924632576	486641664	84295680	1532882944	0	0	0.000000	0.000000	0.000000	5342607.853076	0	112.029857	58320.542950	58320.542950	63.016795	63.016795	0.000000	0.000000	0.000000	0.000000	0.480000	0.000000	0.000000	5.850000	5.660000
10	2026-09-23T19:25:04.807293276Z	10012	2	2.000000	7.000000	1.500000	0.500000	5.000000	0.000000	93.000000	0.340000	0.300000	0.120000	1	0	3771.723122	2117.405953	3879243776	1954607104	1924636672	486641664	84295680	1532887040	0	0	0.000000	0.000000	0.000000	5350401.789732	0	112.021477	58316.180495	58316.180495	63.012081	63.012081	0.000000	0.000000	0.000000	0.000000	0.390000	0.000000	0.000000	5.690000	5.540000
11	2026-09-23T19:25:05.807799657Z	11013	2	2.000000	7.000000	1.000000	1.000000	5.000000	0.000000	93.000000	0.340000	0.300000	0.120000	1	0	3761.095438	2066.953326	3879243776	1954852864	1924390912	486383616	84295680	1532899328	0	0	0.000000	0.000000	0.000000	5346668.527258	0	107.945338	60229.500684	60229.500684	68.965077	68.965077	0.000000	0.000000	0.000000	0.000000	0.390000	0.000000	0.000000	5.690000	5.540000
12	2026-09-23T19:25:06.807560029Z	12013	2	1.990050	6.965174	0.995025	0.995025	4.975124	0.000000	93.034826	0.340000	0.300000	0.120000	1	0	3440.824521	1925.461396	3879243776	1954852864	1924390912	486383616	84295680	1532903424	0	0	0.000000	0.000000	0.000000	5346561.191112	0	108.025886	58318.974918	58318.974918	63.015100	63.015100	0.000000	0.000000	0.000000	0.000000	0.320000	0.000000	0.000000	5.570000	5.440000
13	2026-09-23T19:25:07.807291534Z	13012	2	1.507538	6.030151	1.507538	0.000000	4.522613	0.000000	93.969849	0.310000	0.290000	0.120000	1	0	3429.920930	1924.516731	3879243776	1955102720	1924141056	486125568	84295680	1532907520	0	0	0.000000	0.000000	0.000000	4769024.478303	0	96.025783	58320.659039	58320.659039	63.016920	63.016920	0.000000	0.000000	0.000000	0.000000	0.320000	0.000000	0.000000	5.570000	5.440000
14	2026-09-23T19:25:08.807099581Z	14012	2	1.990050	5.970149	0.995025	0.995025	3.980100	0.000000	94.029851	0.310000	0.290000	0.120000	1	0	3578.686929	1962.376678	3879243776	1955098624	1924145152	486125568	84295680	1532911616	0	0	0.000000	0.000000	0.000000	4449110.006666	0	92.017663	58316.193793	58316.193793	63.012095	63.012095	0.000000	0.000000	0.000000	0.000000	0.260000	0.000000	0.000000	5.280000	5.180000
15	2026-09-23T19:25:09.807720318Z	15013	2	1.010101	5.555556	1.010101	0.000000	4.545455	0.000000	94.444444	0.310000	0.290000	0.120000	1	0	3469.846142	1996.760539	3879243776	1955094528	1924149248	486125568	84295680	1532919808	0	0	0.000000	0.000000	0.000000	4478244.192613	0	95.940446	58268.830439	58268.830439	62.960918	62.960918	0.000000	0.000000	0.000000	0.000000	0.260000	0.000000	0.000000	5.280000	5.180000
16	2026-09-23T19:25:10.807155242Z	16012	2	1.507538	5.025126	1.005025	0.502513	3.517588	0.000000	94.974874	0.310000	0.290000	0.120000	2	0	3584.025254	1994.126837	3879243776	1955864576	1923379200	485351424	84295680	1532919808	0	0	0.000000	0.000000	0.000000	3672091.017848	0	84.047493	58546.083104	58546.083104	67.037882	67.037882	0.000000	0.000000	0.000000	0.000000	0.210000	0.000000	0.000000	5.050000	4.960000
17	2026-09-23T19:25:11.807745806Z	17013	2	1.990050	5.472637	1.492537	0.000000	3.482587	0.497512	94.527363	0.310000	0.290000	0.120000	1	0	3512.925386	1982.829009	3879243776	1956118528	1923125248	485093376	84295680	1532923904	0	0	0.000000	0.000000	0.000000	3598258.990581	0	75.955143	58270.587372	58270.587372	62.962816	62.962816	0.000000	0.000000	0.000000	0.000000	0.210000	0.000000	0.000000	5.050000	4.960000
18	2026-09-23T19:25:12.807348655Z	18012	2	1.500000	4.500000	0.500000	1.000000	3.000000	0.000000	95.500000	0.290000	0.290000	0.120000	1	0	3598.429113	2036.808917	3879243776	1956491264	1922752512	484835328	84295680	1532813312	0	0	0.000000	0.000000	0.000000	2802777.120130	0	64.025428	58404.195168	58418.200730	64.025428	64.025428	0.000000	0.000000	0.000000	0.000000	0.170000	0.000000	0.000000	4.680000	4.610000
19	2026-09-23T19:25:13.807670139Z	19013	2	2.487562	4.975124	1.492537	0.995025	2.487562	0.000000	95.024876	0.290000	0.290000	0.120000	1	0	3244.956792	1834.410263	3879243776	1956491264	1922752512	484835328	84295680	1532813312	0	0	0.000000	0.000000	0.000000	2690207.136069	0	63.979432	58286.261783	58286.261783	62.979753	62.979753	0.000000	0.000000	0.000000	0.000000	0.170000	0.000000	0.000000	4.680000	4.610000
20	2026-09-23T19:25:14.807414196Z	20012	2	1.500000	4.000000	1.000000	0.500000	2.500000	0.000000	96.000000	0.290000	0.290000	0.120000	1	0	3438.880178	1946.498204	3879243776	1956491264	1922752512	484835328	84295680	1532813312	0	0	0.000000	0.000000	0.000000	2695858.002160	0	64.016385	58347.934095	58361.937680	64.016385	64.016385	0.000000	0.000000	0.000000	0.000000	0.140000	0.000000	0.000000	4.190000	4.130000
21	2026-09-23T19:25:15.807185317Z	21012	2	2.487562	4.975124	1.990050	0.497512	2.487562	0.000000	95.024876	0.290000	0.290000	0.120000	1	0	3268.748141	1883.431074	3879243776	1956614144	1922629632	484835328	84295680	1532690432	0	0	0.000000	0.000000	0.000000	2695785.003184	0	60.013736	60272.795057	60272.795057	69.015796	69.015796	0.000000	0.000000	0.000000	0.000000	0.140000	0.000000	0.000000	4.190000	4.130000
