sample	timestamp	elapsed_ms	service	available	cpu_pct	cpu_host_pct	cpu_user_pct	cpu_system_pct	memory_current_bytes	memory_pct_of_host	memory_peak_bytes	io_read_bytes_per_sec	io_write_bytes_per_sec	tasks_current
0	2026-09-24T04:58:57.559524386Z	0	isuconquest.go.service	1	0.000000	0.000000	0.000000	0.000000	27955200	0.726131	40861696	0.000000	0.000000	5
0	2026-09-24T04:58:57.559524386Z	0	nginx.service	1	0.000000	0.000000	0.000000	0.000000	5902336	0.153312	9048064	0.000000	0.000000	3
0	2026-09-24T04:58:57.559524386Z	0	mysql.service	1	0.000000	0.000000	0.000000	0.000000	1663549440	43.210382	2150244352	0.000000	0.000000	43
1	2026-09-24T04:58:58.573083611Z	1013	isuconquest.go.service	1	0.636569	0.318284	0.202159	0.434410	28393472	0.737515	40861696	0.000000	0.000000	5
1	2026-09-24T04:58:58.573083611Z	1013	nginx.service	1	0.000000	0.000000	0.000000	0.000000	5902336	0.153312	9048064	0.000000	0.000000	3
1	2026-09-24T04:58:58.573083611Z	1013	mysql.service	1	2.124592	1.062296	2.124592	0.000000	1663574016	43.211021	2150244352	0.000000	6469968.283126	43
2	2026-09-24T04:58:59.572869938Z	2013	isuconquest.go.service	1	1.365592	0.682796	1.352289	0.013303	28696576	0.745388	40861696	0.000000	0.000000	5
2	2026-09-24T04:58:59.572869938Z	2013	nginx.service	1	0.005301	0.002651	0.002000	0.003201	5906432	0.153418	9048064	0.000000	0.000000	3
2	2026-09-24T04:58:59.572869938Z	2013	mysql.service	1	1.795784	0.897892	1.574636	0.221147	1663574016	43.211021	2150244352	0.000000	6559097.488920	43
3	2026-09-24T04:59:00.572940446Z	3013	isuconquest.go.service	1	1.213714	0.606857	1.125321	0.088394	28790784	0.747835	40861696	0.000000	0.000000	5
3	2026-09-24T04:59:00.572940446Z	3013	nginx.service	1	0.000000	0.000000	0.000000	0.000000	5906432	0.153418	9048064	0.000000	0.000000	3
3	2026-09-24T04:59:00.572940446Z	3013	mysql.service	1	1.815672	0.907836	1.362204	0.453568	1663705088	43.214425	2150244352	0.000000	6557233.629785	43
4	2026-09-24T04:59:01.572629746Z	4013	isuconquest.go.service	1	1.278397	0.639199	0.070022	1.208275	29061120	0.754857	40861696	0.000000	0.000000	5
4	2026-09-24T04:59:01.572629746Z	4013	nginx.service	1	0.000000	0.000000	0.000000	0.000000	5906432	0.153418	9048064	0.000000	0.000000	3
4	2026-09-24T04:59:01.572629746Z	4013	mysql.service	1	1.854476	0.927238	1.365924	0.488552	1663574016	43.211021	2150244352	0.000000	6559734.135635	43
