+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+----------+--------+--------+--------------+------------+
| COUNT | METHOD |                 URI                  | 2XX  | 3XX | 4XX | 5XX |  MAX   |  AVG   |   SUM    |  P90   |  P99   |  SUM(BODY)   | AVG(BODY)  |
+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+----------+--------+--------+--------------+------------+
| 3408  | POST   | ^/user/[^/]+/present/receive$        | 3366 | 0   | 42  | 0   | 1.306  | 0.352  | 1198.565 | 0.735  | 1.020  | 16265721.000 | 4772.805   |
| 2649  | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 2635 | 0   | 14  | 0   | 0.844  | 0.155  | 410.727  | 0.370  | 0.574  | 5479953.000  | 2068.687   |
| 2604  | POST   | /login                               | 2036 | 0   | 568 | 0   | 0.565  | 0.126  | 327.543  | 0.275  | 0.425  | 3080508.000  | 1182.991   |
| 2676  | GET    | ^/user/[^/]+/gacha/index$            | 2648 | 0   | 28  | 0   | 0.730  | 0.117  | 313.120  | 0.293  | 0.514  | 22950672.000 | 8576.484   |
| 2759  | GET    | ^/user/[^/]+/home$                   | 2728 | 0   | 31  | 0   | 0.610  | 0.073  | 202.440  | 0.187  | 0.327  | 1061371.000  | 384.694    |
| 2012  | POST   | ^/user/[^/]+/reward$                 | 2008 | 0   | 4   | 0   | 0.580  | 0.099  | 198.257  | 0.253  | 0.419  | 432253.000   | 214.837    |
| 3417  | GET    | ^/user/[^/]+/present/index/[^/]+$    | 3409 | 0   | 8   | 0   | 0.462  | 0.057  | 193.628  | 0.140  | 0.275  | 14744155.000 | 4314.941   |
| 728   | POST   | /user                                | 723  | 0   | 5   | 0   | 0.596  | 0.187  | 135.920  | 0.365  | 0.492  | 5239828.000  | 7197.566   |
| 687   | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 682  | 0   | 5   | 0   | 0.657  | 0.123  | 84.763   | 0.316  | 0.520  | 226507.000   | 329.705    |
| 692   | GET    | ^/user/[^/]+/item$                   | 688  | 0   | 4   | 0   | 0.641  | 0.100  | 69.229   | 0.266  | 0.476  | 1051065.000  | 1518.880   |
| 683   | POST   | ^/user/[^/]+/card$                   | 678  | 0   | 5   | 0   | 0.724  | 0.087  | 59.146   | 0.228  | 0.357  | 143107.000   | 209.527    |
| 1     | POST   | /initialize                          | 1    | 0   | 0   | 0   | 26.532 | 26.532 | 26.532   | 26.532 | 26.532 | 18.000       | 18.000     |
| 4     | POST   | /admin/login                         | 2    | 0   | 2   | 0   | 0.108  | 0.063  | 0.253    | 0.108  | 0.108  | 433.000      | 108.250    |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1    | 0   | 0   | 0   | 0.155  | 0.155  | 0.155    | 0.155  | 0.155  | 40043.000    | 40043.000  |
| 1     | GET    | /admin/master                        | 1    | 0   | 0   | 0   | 0.009  | 0.009  | 0.009    | 0.009  | 0.009  | 118563.000   | 118563.000 |
| 1     | PUT    | /admin/master                        | 1    | 0   | 0   | 0   | 0.007  | 0.007  | 0.007    | 0.007  | 0.007  | 58.000       | 58.000     |
| 1     | DELETE | /admin/logout                        | 1    | 0   | 0   | 0   | 0.006  | 0.006  | 0.006    | 0.006  | 0.006  | 0.000        | 0.000      |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1    | 0   | 0   | 0   | 0.002  | 0.002  | 0.002    | 0.002  | 0.002  | 177.000      | 177.000    |
+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+----------+--------+--------+--------------+------------+
