+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+---------+--------+--------+--------------+------------+
| COUNT | METHOD |                 URI                  | 2XX  | 3XX | 4XX | 5XX |  MAX   |  AVG   |   SUM   |  P90   |  P99   |  SUM(BODY)   | AVG(BODY)  |
+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+---------+--------+--------+--------------+------------+
| 2717  | POST   | /login                               | 2163 | 0   | 551 | 3   | 1.396  | 0.353  | 960.176 | 0.745  | 1.097  | 3340704.000  | 1229.556   |
| 5739  | POST   | ^/user/[^/]+/present/receive$        | 5716 | 0   | 23  | 0   | 0.961  | 0.123  | 705.801 | 0.258  | 0.444  | 26962021.000 | 4698.035   |
| 3910  | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 3887 | 0   | 23  | 0   | 0.979  | 0.156  | 609.481 | 0.317  | 0.531  | 8099819.000  | 2071.565   |
| 5763  | GET    | ^/user/[^/]+/present/index/[^/]+$    | 5740 | 0   | 23  | 0   | 1.053  | 0.080  | 459.759 | 0.175  | 0.330  | 24197621.000 | 4198.789   |
| 3942  | GET    | ^/user/[^/]+/gacha/index$            | 3909 | 0   | 33  | 0   | 0.862  | 0.098  | 386.522 | 0.203  | 0.370  | 33900418.000 | 8599.802   |
| 1764  | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 1748 | 0   | 16  | 0   | 1.178  | 0.148  | 261.741 | 0.299  | 0.471  | 582861.000   | 330.420    |
| 2158  | POST   | ^/user/[^/]+/reward$                 | 2149 | 0   | 9   | 0   | 0.905  | 0.095  | 206.037 | 0.200  | 0.368  | 462709.000   | 214.416    |
| 3995  | GET    | ^/user/[^/]+/home$                   | 3988 | 0   | 7   | 0   | 0.835  | 0.046  | 185.035 | 0.104  | 0.211  | 1551748.000  | 388.423    |
| 1776  | GET    | ^/user/[^/]+/item$                   | 1767 | 0   | 9   | 0   | 1.145  | 0.097  | 171.705 | 0.202  | 0.357  | 2680004.000  | 1509.011   |
| 1750  | POST   | ^/user/[^/]+/card$                   | 1745 | 0   | 5   | 0   | 1.118  | 0.094  | 164.299 | 0.194  | 0.321  | 368189.000   | 210.394    |
| 1840  | POST   | /user                                | 1832 | 0   | 8   | 0   | 0.859  | 0.089  | 164.019 | 0.180  | 0.303  | 13310126.000 | 7233.764   |
| 1     | POST   | /initialize                          | 1    | 0   | 0   | 0   | 23.004 | 23.004 | 23.004  | 23.004 | 23.004 | 18.000       | 18.000     |
| 4     | POST   | /admin/login                         | 2    | 0   | 2   | 0   | 0.223  | 0.087  | 0.348   | 0.223  | 0.223  | 433.000      | 108.250    |
| 1     | PUT    | /admin/master                        | 1    | 0   | 0   | 0   | 0.132  | 0.132  | 0.132   | 0.132  | 0.132  | 58.000       | 58.000     |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1    | 0   | 0   | 0   | 0.091  | 0.091  | 0.091   | 0.091  | 0.091  | 43110.000    | 43110.000  |
| 1     | DELETE | /admin/logout                        | 1    | 0   | 0   | 0   | 0.030  | 0.030  | 0.030   | 0.030  | 0.030  | 0.000        | 0.000      |
| 1     | GET    | /admin/master                        | 1    | 0   | 0   | 0   | 0.006  | 0.006  | 0.006   | 0.006  | 0.006  | 118563.000   | 118563.000 |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1    | 0   | 0   | 0   | 0.002  | 0.002  | 0.002   | 0.002  | 0.002  | 178.000      | 178.000    |
+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+---------+--------+--------+--------------+------------+
