+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+--------------+------------+
| COUNT | METHOD |                 URI                  |  2XX  | 3XX | 4XX | 5XX |  MAX   |  AVG   |   SUM   |  P90   |  P99   |  SUM(BODY)   | AVG(BODY)  |
+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+--------------+------------+
| 8701  | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 8681  | 0   | 20  | 0   | 0.503  | 0.093  | 808.125 | 0.188  | 0.265  | 18091436.000 | 2079.236   |
| 12804 | POST   | ^/user/[^/]+/present/receive$        | 12781 | 0   | 23  | 0   | 0.523  | 0.053  | 680.470 | 0.110  | 0.166  | 60391805.000 | 4716.636   |
| 5442  | POST   | /login                               | 4677  | 0   | 765 | 0   | 0.400  | 0.085  | 462.854 | 0.152  | 0.216  | 7446990.000  | 1368.429   |
| 8714  | GET    | ^/user/[^/]+/gacha/index$            | 8700  | 0   | 14  | 0   | 0.399  | 0.050  | 435.576 | 0.101  | 0.161  | 75431135.000 | 8656.316   |
| 4051  | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 4027  | 0   | 24  | 0   | 0.437  | 0.087  | 350.870 | 0.189  | 0.263  | 1342879.000  | 331.493    |
| 4658  | POST   | ^/user/[^/]+/reward$                 | 4638  | 0   | 20  | 0   | 0.493  | 0.055  | 254.234 | 0.108  | 0.155  | 998507.000   | 214.364    |
| 4101  | POST   | /user                                | 4097  | 0   | 4   | 0   | 0.412  | 0.056  | 229.319 | 0.118  | 0.271  | 29762192.000 | 7257.301   |
| 12811 | GET    | ^/user/[^/]+/present/index/[^/]+$    | 12807 | 0   | 4   | 0   | 0.380  | 0.016  | 202.626 | 0.038  | 0.143  | 54067092.000 | 4220.365   |
| 4032  | POST   | ^/user/[^/]+/card$                   | 4020  | 0   | 12  | 0   | 0.381  | 0.048  | 194.109 | 0.104  | 0.190  | 848270.000   | 210.384    |
| 4069  | GET    | ^/user/[^/]+/item$                   | 4056  | 0   | 13  | 0   | 0.376  | 0.045  | 182.419 | 0.098  | 0.147  | 6131484.000  | 1506.877   |
| 8774  | GET    | ^/user/[^/]+/home$                   | 8754  | 0   | 20  | 0   | 0.295  | 0.005  | 41.034  | 0.009  | 0.031  | 3407010.000  | 388.307    |
| 1     | POST   | /initialize                          | 1     | 0   | 0   | 0   | 23.704 | 23.704 | 23.704  | 23.704 | 23.704 | 18.000       | 18.000     |
| 4     | POST   | /admin/login                         | 2     | 0   | 2   | 0   | 0.097  | 0.056  | 0.223   | 0.097  | 0.097  | 433.000      | 108.250    |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1     | 0   | 0   | 0   | 0.090  | 0.090  | 0.090   | 0.090  | 0.090  | 41170.000    | 41170.000  |
| 1     | GET    | /admin/master                        | 1     | 0   | 0   | 0   | 0.006  | 0.006  | 0.006   | 0.006  | 0.006  | 118563.000   | 118563.000 |
| 1     | PUT    | /admin/master                        | 1     | 0   | 0   | 0   | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 58.000       | 58.000     |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1     | 0   | 0   | 0   | 0.002  | 0.002  | 0.002   | 0.002  | 0.002  | 178.000      | 178.000    |
| 1     | DELETE | /admin/logout                        | 1     | 0   | 0   | 0   | 0.002  | 0.002  | 0.002   | 0.002  | 0.002  | 0.000        | 0.000      |
+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+--------------+------------+
