sample	timestamp	elapsed_ms	captured_waits	capture_error	wait_key	requesting_trx_id	blocking_trx_id	object_schema	object_table	object_index	request_lock_type	request_lock_mode	request_lock_data	blocking_lock_type	blocking_lock_mode	blocking_lock_data	requesting_thread_id	requesting_processlist_id	requesting_sql	blocking_thread_id	blocking_processlist_id	blocking_sql
0	2026-09-24T20:16:27.85456568Z	0	0																			
1	2026-09-24T20:16:27.910662613Z	56	0																			
2	2026-09-24T20:16:27.961433606Z	106	0																			
3	2026-09-24T20:16:28.011296274Z	156	0																			
4	2026-09-24T20:16:28.061053298Z	206	0																			
5	2026-09-24T20:16:28.110784702Z	256	0																			
6	2026-09-24T20:16:28.161532746Z	306	0																			
7	2026-09-24T20:16:28.211271326Z	356	0																			
8	2026-09-24T20:16:28.26097777Z	406	0																			
9	2026-09-24T20:16:28.310683861Z	456	0																			
10	2026-09-24T20:16:28.361385812Z	506	0																			
11	2026-09-24T20:16:28.41110949Z	556	0																			
12	2026-09-24T20:16:28.460830271Z	606	0																			
13	2026-09-24T20:16:28.510521186Z	655	0																			
14	2026-09-24T20:16:28.561296946Z	706	0																			
15	2026-09-24T20:16:28.611053773Z	756	0																			
16	2026-09-24T20:16:28.660784827Z	806	0																			
17	2026-09-24T20:16:28.711514114Z	856	0																			
18	2026-09-24T20:16:28.76121383Z	906	0																			
19	2026-09-24T20:16:28.810959254Z	956	0																			
20	2026-09-24T20:16:28.860629379Z	1006	0																			
21	2026-09-24T20:16:28.911286958Z	1056	0																			
22	2026-09-24T20:16:28.960995493Z	1106	0																			
23	2026-09-24T20:16:29.010742118Z	1156	0																			
24	2026-09-24T20:16:29.061447624Z	1206	0																			
25	2026-09-24T20:16:29.111223742Z	1256	0																			
26	2026-09-24T20:16:29.160913363Z	1306	0																			
27	2026-09-24T20:16:29.210657076Z	1356	0																			
28	2026-09-24T20:16:29.261362158Z	1406	0																			
29	2026-09-24T20:16:29.311093857Z	1456	0																			
30	2026-09-24T20:16:29.360810361Z	1506	0																			
31	2026-09-24T20:16:29.411519471Z	1556	0																			
32	2026-09-24T20:16:29.461306957Z	1606	0																			
33	2026-09-24T20:16:29.511109922Z	1656	0																			
34	2026-09-24T20:16:29.560812026Z	1706	0																			
35	2026-09-24T20:16:29.611514548Z	1756	0																			
36	2026-09-24T20:16:29.66119526Z	1806	0																			
37	2026-09-24T20:16:29.710924671Z	1856	0																			
38	2026-09-24T20:16:29.76065482Z	1906	0																			
39	2026-09-24T20:16:29.811372428Z	1956	0																			
40	2026-09-24T20:16:29.8611179Z	2006	0																			
41	2026-09-24T20:16:29.910802247Z	2056	0																			
42	2026-09-24T20:16:29.9614434Z	2106	0																			
43	2026-09-24T20:16:30.011062041Z	2156	0																			
44	2026-09-24T20:16:30.060689361Z	2206	0																			
45	2026-09-24T20:16:30.111371795Z	2256	0																			
46	2026-09-24T20:16:30.161063508Z	2306	0																			
47	2026-09-24T20:16:30.210811614Z	2356	0																			
48	2026-09-24T20:16:30.261509418Z	2406	0																			
49	2026-09-24T20:16:30.31121734Z	2456	0																			
50	2026-09-24T20:16:30.360874995Z	2506	0																			
51	2026-09-24T20:16:30.410612954Z	2556	0																			
52	2026-09-24T20:16:30.461362482Z	2606	0																			
53	2026-09-24T20:16:30.511019399Z	2656	0																			
54	2026-09-24T20:16:30.560682677Z	2706	0																			
55	2026-09-24T20:16:30.611359567Z	2756	0																			
56	2026-09-24T20:16:30.661060978Z	2806	0																			
57	2026-09-24T20:16:30.710813308Z	2856	0																			
58	2026-09-24T20:16:30.760527504Z	2905	0																			
