upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
127.0.0.1:8080	200	NONE	7	7	0	0	0	0	34339.000	4905.571	34336.000	4905.143
127.0.0.1:8080	204	NONE	1	1	0	0	0	0	2.000	2.000	4.000	4.000
127.0.0.1:8080	401	NONE	1	0	0	1	0	0	61.000	61.000	60.000	60.000
127.0.0.1:8080	404	NONE	1	0	0	1	0	0	1.000	1.000	4.000	4.000
172.31.33.164:8080	200	NONE	85410	85410	0	0	0	0	276250.000	3.234	275977.000	3.231
172.31.33.164:8080	403	NONE	124	0	0	124	0	0	307.000	2.476	320.000	2.581
172.31.33.164:8080	422	NONE	19	0	0	19	0	0	104.000	5.474	100.000	5.263
172.31.33.164:8080	NONE	NONE	2	0	0	2	0	0	6.000	3.000	8.000	4.000
172.31.36.222:8080	200	NONE	84565	84565	0	0	0	0	261417.000	3.091	260471.000	3.080
172.31.36.222:8080	403	NONE	147	0	0	147	0	0	375.000	2.551	412.000	2.803
172.31.36.222:8080	422	NONE	19	0	0	19	0	0	85.000	4.474	88.000	4.632
172.31.36.222:8080	NONE	NONE	3	0	0	3	0	0	5.000	1.667	4.000	1.333
172.31.36.71:8080	200	NONE	84834	84834	0	0	0	0	259738.000	3.062	261034.000	3.077
172.31.36.71:8080	403	NONE	150	0	0	150	0	0	353.000	2.353	364.000	2.427
172.31.36.71:8080	404	NONE	1	0	0	1	0	0	9.000	9.000	8.000	8.000
172.31.36.71:8080	422	NONE	37	0	0	37	0	0	399.000	10.784	416.000	11.243
172.31.36.71:8080	NONE	NONE	7	0	0	7	0	0	53.000	7.571	48.000	6.857
172.31.45.54:8080	200	NONE	84526	84526	0	0	0	0	290356.000	3.435	290207.000	3.433
172.31.45.54:8080	400	NONE	2	0	0	2	0	0	1.000	0.500	0.000	0.000
172.31.45.54:8080	401	NONE	1	0	0	1	0	0	7.000	7.000	8.000	8.000
172.31.45.54:8080	403	NONE	130	0	0	130	0	0	325.000	2.500	300.000	2.308
172.31.45.54:8080	422	NONE	15	0	0	15	0	0	27.000	1.800	40.000	2.667
172.31.45.54:8080	NONE	NONE	2	0	0	2	0	0	7.000	3.500	8.000	4.000
