+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+---------------+------------+
| COUNT | METHOD |                 URI                  |  2XX  | 3XX | 4XX | 5XX |  MAX   |  AVG   |   SUM   |  P90   |  P99   |   SUM(BODY)   | AVG(BODY)  |
+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+---------------+------------+
| 26851 | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 26835 | 0   | 16  | 0   | 0.103  | 0.013  | 358.085 | 0.015  | 0.030  | 56014012.000  | 2086.105   |
| 43730 | POST   | ^/user/[^/]+/present/receive$        | 43716 | 0   | 14  | 0   | 0.095  | 0.008  | 328.544 | 0.011  | 0.019  | 201699457.000 | 4612.382   |
| 16847 | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 16841 | 0   | 6   | 0   | 0.100  | 0.013  | 225.467 | 0.015  | 0.028  | 5615228.000   | 333.307    |
| 26855 | GET    | ^/user/[^/]+/gacha/index$            | 26850 | 0   | 5   | 0   | 0.094  | 0.007  | 181.707 | 0.008  | 0.018  | 232795481.000 | 8668.608   |
| 16901 | POST   | /user                                | 16891 | 0   | 10  | 0   | 0.086  | 0.008  | 133.784 | 0.011  | 0.021  | 123590864.000 | 7312.636   |
| 16856 | POST   | ^/user/[^/]+/card$                   | 16838 | 0   | 18  | 0   | 0.094  | 0.007  | 110.194 | 0.008  | 0.014  | 3553747.000   | 210.830    |
| 16863 | GET    | ^/user/[^/]+/item$                   | 16862 | 0   | 1   | 0   | 0.095  | 0.006  | 109.567 | 0.008  | 0.015  | 25548070.000  | 1515.037   |
| 10650 | POST   | /login                               | 9980  | 0   | 670 | 0   | 0.059  | 0.008  | 85.465  | 0.011  | 0.023  | 15492259.000  | 1454.672   |
| 9978  | POST   | ^/user/[^/]+/reward$                 | 9978  | 0   | 0   | 0   | 0.061  | 0.007  | 68.385  | 0.010  | 0.020  | 2148098.000   | 215.283    |
| 1     | POST   | /initialize                          | 1     | 0   | 0   | 0   | 32.849 | 32.849 | 32.849  | 32.849 | 32.849 | 18.000        | 18.000     |
| 43733 | GET    | ^/user/[^/]+/present/index/[^/]+$    | 43733 | 0   | 0   | 0   | 0.019  | 0.000  | 21.276  | 0.001  | 0.003  | 180412780.000 | 4125.324   |
| 26868 | GET    | ^/user/[^/]+/home$                   | 26866 | 0   | 2   | 0   | 0.018  | 0.000  | 11.658  | 0.001  | 0.002  | 10460510.000  | 389.330    |
| 4     | POST   | /admin/login                         | 2     | 0   | 2   | 0   | 0.076  | 0.050  | 0.200   | 0.076  | 0.076  | 433.000       | 108.250    |
| 1     | PUT    | /admin/master                        | 1     | 0   | 0   | 0   | 0.018  | 0.018  | 0.018   | 0.018  | 0.018  | 58.000        | 58.000     |
| 1     | GET    | /admin/master                        | 1     | 0   | 0   | 0   | 0.007  | 0.007  | 0.007   | 0.007  | 0.007  | 118563.000    | 118563.000 |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1     | 0   | 0   | 0   | 0.007  | 0.007  | 0.007   | 0.007  | 0.007  | 179.000       | 179.000    |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1     | 0   | 0   | 0   | 0.003  | 0.003  | 0.003   | 0.003  | 0.003  | 40674.000     | 40674.000  |
| 1     | DELETE | /admin/logout                        | 1     | 0   | 0   | 0   | 0.003  | 0.003  | 0.003   | 0.003  | 0.003  | 0.000         | 0.000      |
+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+---------------+------------+
