ingress_host	upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
isucon-1	127.0.0.1:8080	200	NONE	7	7	0	0	0	0	33446.000	4778.000	33452.000	4778.857
isucon-1	127.0.0.1:8080	204	NONE	1	1	0	0	0	0	2.000	2.000	0.000	0.000
isucon-1	127.0.0.1:8080	401	NONE	1	0	0	1	0	0	60.000	60.000	60.000	60.000
isucon-1	127.0.0.1:8080	404	NONE	1	0	0	1	0	0	1.000	1.000	4.000	4.000
isucon-1	172.31.33.164:8080	200	NONE	137920	137920	0	0	0	0	129733.000	0.941	135568.000	0.983
isucon-1	172.31.33.164:8080	403	NONE	148	0	0	148	0	0	274.000	1.851	292.000	1.973
isucon-1	172.31.33.164:8080	422	NONE	39	0	0	39	0	0	233.000	5.974	240.000	6.154
isucon-1	172.31.36.222:8080	200	NONE	137646	137646	0	0	0	0	136212.000	0.990	135564.000	0.985
isucon-1	172.31.36.222:8080	400	NONE	2	0	0	2	0	0	2.000	1.000	0.000	0.000
isucon-1	172.31.36.222:8080	401	NONE	1	0	0	1	0	0	3.000	3.000	0.000	0.000
isucon-1	172.31.36.222:8080	403	NONE	174	0	0	174	0	0	242.000	1.391	260.000	1.494
isucon-1	172.31.36.222:8080	422	NONE	34	0	0	34	0	0	134.000	3.941	144.000	4.235
isucon-1	172.31.36.71:8080	200	NONE	138096	138096	0	0	0	0	125036.000	0.905	128684.000	0.932
isucon-1	172.31.36.71:8080	403	NONE	171	0	0	171	0	0	325.000	1.901	328.000	1.918
isucon-1	172.31.36.71:8080	422	NONE	38	0	0	38	0	0	176.000	4.632	176.000	4.632
isucon-1	172.31.36.71:8080	NONE	NONE	6	0	0	6	0	0	17.000	2.833	24.000	4.000
isucon-1	172.31.45.54:8080	200	NONE	137520	137520	0	0	0	0	140273.000	1.020	137928.000	1.003
isucon-1	172.31.45.54:8080	403	NONE	152	0	0	152	0	0	217.000	1.428	216.000	1.421
isucon-1	172.31.45.54:8080	404	NONE	1	0	0	1	0	0	10.000	10.000	12.000	12.000
isucon-1	172.31.45.54:8080	422	NONE	68	0	0	68	0	0	2023.000	29.750	2016.000	29.647
isucon-1	172.31.45.54:8080	NONE	NONE	7	0	0	7	0	0	26.000	3.714	28.000	4.000
