+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+--------+--------+--------+---------------+------------+
| COUNT | METHOD |                 URI                  |  2XX  | 3XX | 4XX | 5XX |  MAX   |  AVG   |  SUM   |  P90   |  P99   |   SUM(BODY)   | AVG(BODY)  |
+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+--------+--------+--------+---------------+------------+
| 96975 | POST   | ^/user/[^/]+/present/receive$        | 96970 | 0   | 5   | 0   | 0.032  | 0.001  | 49.941 | 0.001  | 0.002  | 434344470.000 | 4478.932   |
| 96978 | GET    | ^/user/[^/]+/present/index/[^/]+$    | 96978 | 0   | 0   | 0   | 0.033  | 0.000  | 39.124 | 0.001  | 0.002  | 388617580.000 | 4007.276   |
| 1     | POST   | /initialize                          | 1     | 0   | 0   | 0   | 33.904 | 33.904 | 33.904 | 33.904 | 33.904 | 18.000        | 18.000     |
| 53487 | GET    | ^/user/[^/]+/gacha/index$            | 53486 | 0   | 1   | 0   | 0.042  | 0.001  | 27.129 | 0.001  | 0.003  | 463479186.000 | 8665.268   |
| 43531 | POST   | /user                                | 43500 | 0   | 31  | 0   | 0.026  | 0.001  | 26.708 | 0.001  | 0.004  | 316986772.000 | 7281.863   |
| 53486 | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 53485 | 0   | 1   | 0   | 0.026  | 0.000  | 25.354 | 0.001  | 0.003  | 111850292.000 | 2091.207   |
| 53501 | GET    | ^/user/[^/]+/home$                   | 53498 | 0   | 3   | 0   | 0.024  | 0.000  | 20.329 | 0.001  | 0.003  | 20846972.000  | 389.656    |
| 43478 | POST   | ^/user/[^/]+/card$                   | 43474 | 0   | 4   | 0   | 0.028  | 0.000  | 17.509 | 0.001  | 0.002  | 9173228.000   | 210.986    |
| 43424 | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 43420 | 0   | 4   | 0   | 0.029  | 0.000  | 17.348 | 0.001  | 0.002  | 14478544.000  | 333.423    |
| 43484 | GET    | ^/user/[^/]+/item$                   | 43483 | 0   | 1   | 0   | 0.024  | 0.000  | 17.039 | 0.001  | 0.002  | 65879336.000  | 1515.025   |
| 10414 | POST   | /login                               | 10002 | 0   | 412 | 0   | 0.033  | 0.001  | 11.866 | 0.002  | 0.011  | 14067278.000  | 1350.804   |
| 10000 | POST   | ^/user/[^/]+/reward$                 | 10000 | 0   | 0   | 0   | 0.026  | 0.001  | 5.499  | 0.001  | 0.005  | 2152824.000   | 215.282    |
| 4     | POST   | /admin/login                         | 2     | 0   | 2   | 0   | 0.088  | 0.053  | 0.214  | 0.088  | 0.088  | 433.000       | 108.250    |
| 1     | PUT    | /admin/master                        | 1     | 0   | 0   | 0   | 0.017  | 0.017  | 0.017  | 0.017  | 0.017  | 58.000        | 58.000     |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1     | 0   | 0   | 0   | 0.006  | 0.006  | 0.006  | 0.006  | 0.006  | 38939.000     | 38939.000  |
| 1     | GET    | /admin/master                        | 1     | 0   | 0   | 0   | 0.006  | 0.006  | 0.006  | 0.006  | 0.006  | 118549.000    | 118549.000 |
| 1     | DELETE | /admin/logout                        | 1     | 0   | 0   | 0   | 0.002  | 0.002  | 0.002  | 0.002  | 0.002  | 0.000         | 0.000      |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1     | 0   | 0   | 0   | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 178.000       | 178.000    |
+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+--------+--------+--------+---------------+------------+
